no;kode_provinsi;provinsi;kode_kabupaten;kabupaten;kode_kecamatan;kecamatan;nama sekolah;npsn;bp;status;tahun;pd;guru;tendik;rombel;r_kelas;r_lab;r_perpustakaan
1;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI 1 BINTANG HU;10100696;SD;Negeri;2023;224;21;3;10;8;0;1
2;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI 2 BINTANG HU;10100885;SD;Negeri;2023;247;15;3;12;12;0;1
3;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI ARON BATEE;10100827;SD;Negeri;2023;68;15;3;6;6;0;1
4;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI BATEE CRUENG;10100835;SD;Negeri;2023;234;23;3;12;10;0;0
5;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI CALONG;10100869;SD;Negeri;2023;82;12;2;6;6;0;1
6;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI KEUDE BATEE;10100440;SD;Negeri;2023;175;15;3;7;9;0;0
7;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI KUALA BATEE;10100493;SD;Negeri;2023;193;10;3;8;7;0;1
8;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI KULAM;10100495;SD;Negeri;2023;127;11;3;6;6;0;1
9;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI NEUHEUN;10100360;SD;Negeri;2023;106;12;4;6;6;0;1
10;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI PULO BUNGONG;10100394;SD;Negeri;2023;196;15;4;9;6;0;1
11;11;Aceh;11.07;Kabupaten Pidie;11.07.03;Batee;SD NEGERI TUNGKOP;10100586;SD;Negeri;2023;262;27;3;12;10;0;1
